item_code,item_name,item_description,qty,qty_unit,pricing_basis,unit_price,unit_cost,cost_currency,tax_class,markup_override,expected_total
1,PROJECT ENGINEERING PERMITS AND DOCUMENTATION,"Integrated engineering, project controls, compliance, and customer data-book work for a containerized hydrogen electrolyzer plant.",1,LOT,,,,,,,
1.1,PROCESS DESIGN PACKAGE,"PFDs, P&IDs, heat and mass balance, cause and effect, and design basis deliverables.",1,LOT,,,,,,,
1.1.1,DESIGN BASIS MEMORANDUM,DESIGN BASIS MEMORANDUM; copper busbar with tin-plated contact surfaces; ISO 22734 hydrogen generator equipment requirements; continuous operation duty with remote monitoring. Supplier cost currency: HKD.,104,HR,cost_plus,,5281.25,HKD,,21,85067.84
1.1.2,PFD SET REV A,PFD SET REV A; powder-coated carbon steel structural frame; NFPA 2 hydrogen technologies design consideration; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: JPY.,116,HR,cost_plus,,113283.58,JPY,,22,107413.68
1.1.3,P&ID SET REV A,P&ID SET REV A; FRP/HDPE chemical-resistant utility construction; ASME B31.3 process piping fabrication basis; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: CNY.,128,HR,cost_plus,,6014.29,CNY,,18,127175.68
1.1.4,HEAT AND MASS BALANCE MODEL,HEAT AND MASS BALANCE MODEL; IP66/NEMA 4X outdoor electrical enclosure; CE/UKCA technical file support package; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: USD.,140,HR,cost_plus,,925,USD,,19,154105
1.1.5,CAUSE AND EFFECT MATRIX,CAUSE AND EFFECT MATRIX; ATEX/IECEx suitable hydrogen-area component selection; UL 508A industrial control panel construction basis; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: SGD.,80,HR,cost_plus,,1362.16,SGD,,20,96768
1.1.6,EQUIPMENT DATASHEET REGISTER,EQUIPMENT DATASHEET REGISTER; 316L stainless steel wetted construction; ISO 9001 traceable manufacturing record package; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: AUD.,92,HR,cost_plus,,1704.69,AUD,,21,121450.12
1.2,ELECTRICAL DESIGN PACKAGE,"Single line diagrams, load lists, cable schedules, and protection coordination studies.",1,LOT,,,,,,,
1.2.1,ELECTRICAL DESIGN PACKAGE ASSEMBLY,ELECTRICAL DESIGN PACKAGE ASSEMBLY; powder-coated carbon steel structural frame; NFPA 2 hydrogen technologies design consideration; continuous operation duty with remote monitoring. Supplier cost currency: CNY.,104,HR,cost_plus,,5807.14,CNY,,22,103153.44
1.2.2,ELECTRICAL DESIGN PACKAGE MODULE,ELECTRICAL DESIGN PACKAGE MODULE; FRP/HDPE chemical-resistant utility construction; ASME B31.3 process piping fabrication basis; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: USD.,116,HR,cost_plus,,896,USD,,18,122644.48
1.2.3,ELECTRICAL DESIGN PACKAGE PANEL,ELECTRICAL DESIGN PACKAGE PANEL; IP66/NEMA 4X outdoor electrical enclosure; CE/UKCA technical file support package; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: SGD.,128,HR,cost_plus,,1322.97,SGD,,19,149121.28
1.2.4,ELECTRICAL DESIGN PACKAGE MANIFOLD,ELECTRICAL DESIGN PACKAGE MANIFOLD; ATEX/IECEx suitable hydrogen-area component selection; UL 508A industrial control panel construction basis; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: AUD.,140,HR,cost_plus,,1659.38,AUD,,20,178416
1.2.5,ELECTRICAL DESIGN PACKAGE SENSOR SET,ELECTRICAL DESIGN PACKAGE SENSOR SET; 316L stainless steel wetted construction; ISO 9001 traceable manufacturing record package; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: GBP.,80,HR,cost_plus,,916,GBP,,21,110836
1.2.6,ELECTRICAL DESIGN PACKAGE INSTALL KIT,ELECTRICAL DESIGN PACKAGE INSTALL KIT; duplex stainless steel process wetted construction; IEC 60204-1 electrical machinery compliance; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: EUR.,92,HR,cost_plus,,1137.04,EUR,,22,137830.72
1.3,HAZARD AND COMPLIANCE STUDIES,"HAZOP, LOPA, area classification, code review, and compliance matrix support.",1,LOT,,,,,,,
1.3.1,HAZARD AND COMPLIANCE ASSEMBLY,HAZARD AND COMPLIANCE ASSEMBLY; FRP/HDPE chemical-resistant utility construction; ASME B31.3 process piping fabrication basis; continuous operation duty with remote monitoring. Supplier cost currency: SGD.,104,HR,cost_plus,,1283.78,SGD,,18,116584
1.3.2,HAZARD AND COMPLIANCE MODULE,HAZARD AND COMPLIANCE MODULE; IP66/NEMA 4X outdoor electrical enclosure; CE/UKCA technical file support package; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: AUD.,116,HR,cost_plus,,1614.06,AUD,,19,142595.32
1.3.3,HAZARD AND COMPLIANCE PANEL,HAZARD AND COMPLIANCE PANEL; ATEX/IECEx suitable hydrogen-area component selection; UL 508A industrial control panel construction basis; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: GBP.,128,HR,cost_plus,,892.80,GBP,,20,171417.60
1.3.4,HAZARD AND COMPLIANCE MANIFOLD,HAZARD AND COMPLIANCE MANIFOLD; 316L stainless steel wetted construction; ISO 9001 traceable manufacturing record package; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: EUR.,140,HR,cost_plus,,1110.19,EUR,,21,203110.60
1.3.5,HAZARD AND COMPLIANCE SENSOR SET,HAZARD AND COMPLIANCE SENSOR SET; duplex stainless steel process wetted construction; IEC 60204-1 electrical machinery compliance; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: KRW.,80,HR,cost_plus,,1756164.38,KRW,,22,125123.20
1.3.6,HAZARD AND COMPLIANCE INSTALL KIT,HAZARD AND COMPLIANCE INSTALL KIT; EPDM/PTFE compatible deionized water service; IEC 61511 instrumented protection design basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: HKD.,92,HR,cost_plus,,10664.06,HKD,,18,148184.40
1.4,PROJECT CONTROLS AND SUBMITTALS,"Schedule, document control, progress reporting, and customer comment resolution.",1,LOT,,,,,,,
1.4.1,PROJECT CONTROLS AND ASSEMBLY,PROJECT CONTROLS AND ASSEMBLY; IP66/NEMA 4X outdoor electrical enclosure; CE/UKCA technical file support package; continuous operation duty with remote monitoring. Supplier cost currency: GBP.,104,HR,cost_plus,,869.60,GBP,,19,134527.12
1.4.2,PROJECT CONTROLS AND MODULE,PROJECT CONTROLS AND MODULE; ATEX/IECEx suitable hydrogen-area component selection; UL 508A industrial control panel construction basis; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: EUR.,116,HR,cost_plus,,1083.33,EUR,,20,162864
1.4.3,PROJECT CONTROLS AND PANEL,PROJECT CONTROLS AND PANEL; 316L stainless steel wetted construction; ISO 9001 traceable manufacturing record package; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: KRW.,128,HR,cost_plus,,1716438.36,KRW,,21,194064.64
1.4.4,PROJECT CONTROLS AND MANIFOLD,PROJECT CONTROLS AND MANIFOLD; duplex stainless steel process wetted construction; IEC 60204-1 electrical machinery compliance; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: HKD.,140,HR,cost_plus,,10437.50,HKD,,22,228188.80
1.4.5,PROJECT CONTROLS AND SENSOR SET,PROJECT CONTROLS AND SENSOR SET; EPDM/PTFE compatible deionized water service; IEC 61511 instrumented protection design basis; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: JPY.,80,HR,cost_plus,,211791.04,JPY,,18,133953.60
1.4.6,PROJECT CONTROLS AND INSTALL KIT,PROJECT CONTROLS AND INSTALL KIT; copper busbar with tin-plated contact surfaces; ISO 22734 hydrogen generator equipment requirements; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: CNY.,92,HR,cost_plus,,10728.57,CNY,,19,164438.96
1.5,FINAL DATA BOOK,"As-built drawings, certificates, test records, manuals, and electronic handover package.",1,LOT,,,,,,,
1.5.1,FINAL DATA BOOK ASSEMBLY,FINAL DATA BOOK ASSEMBLY; ATEX/IECEx suitable hydrogen-area component selection; UL 508A industrial control panel construction basis; continuous operation duty with remote monitoring. Supplier cost currency: KRW.,104,HR,cost_plus,,1676712.33,KRW,,20,152755.20
1.5.2,FINAL DATA BOOK MODULE,FINAL DATA BOOK MODULE; 316L stainless steel wetted construction; ISO 9001 traceable manufacturing record package; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: HKD.,116,HR,cost_plus,,10210.94,HKD,,21,183450.52
1.5.3,FINAL DATA BOOK PANEL,FINAL DATA BOOK PANEL; duplex stainless steel process wetted construction; IEC 60204-1 electrical machinery compliance; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: JPY.,128,HR,cost_plus,,207462.69,JPY,,22,217062.40
1.5.4,FINAL DATA BOOK MANIFOLD,FINAL DATA BOOK MANIFOLD; EPDM/PTFE compatible deionized water service; IEC 61511 instrumented protection design basis; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: CNY.,140,HR,cost_plus,,10521.43,CNY,,18,243339.60
1.5.5,FINAL DATA BOOK SENSOR SET,FINAL DATA BOOK SENSOR SET; copper busbar with tin-plated contact surfaces; ISO 22734 hydrogen generator equipment requirements; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: USD.,80,HR,cost_plus,,1556,USD,,19,148131.20
1.5.6,FINAL DATA BOOK INSTALL KIT,FINAL DATA BOOK INSTALL KIT; powder-coated carbon steel structural frame; NFPA 2 hydrogen technologies design consideration; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: SGD.,92,HR,cost_plus,,2214.86,SGD,,20,180945.60
2,CONTAINER MODULES AND STRUCTURAL FRAMES,"ISO-container modules, skid frames, walkways, lifting points, weatherproofing, and equipment mounting structures.",1,LOT,,,,,,,
2.1,PROCESS CONTAINER SHELLS,"Modified ISO container shells with doors, louvers, penetrations, and weather sealing.",1,LOT,,,,,,,
2.1.1,PROCESS CONTAINER SHELLS ASSEMBLY,PROCESS CONTAINER SHELLS ASSEMBLY; powder-coated carbon steel structural frame; ISO 22734 hydrogen generator equipment requirements; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: USD.,2,EA,cost_plus,,19342,USD,,26,48741.84
2.1.2,PROCESS CONTAINER SHELLS MODULE,PROCESS CONTAINER SHELLS MODULE; FRP/HDPE chemical-resistant utility construction; NFPA 2 hydrogen technologies design consideration; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: SGD.,3,EA,cost_plus,,26250,SGD,,22,71095.50
2.1.3,PROCESS CONTAINER SHELLS PANEL,PROCESS CONTAINER SHELLS PANEL; IP66/NEMA 4X outdoor electrical enclosure; ASME B31.3 process piping fabrication basis; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: AUD.,4,EA,cost_plus,,30481.25,AUD,,23,95979.36
2.1.4,PROCESS CONTAINER SHELLS MANIFOLD,PROCESS CONTAINER SHELLS MANIFOLD; ATEX/IECEx suitable hydrogen-area component selection; CE/UKCA technical file support package; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: GBP.,5,EA,cost_plus,,15672.80,GBP,,24,121464.20
2.1.5,PROCESS CONTAINER SHELLS SENSOR SET,PROCESS CONTAINER SHELLS SENSOR SET; 316L stainless steel wetted construction; UL 508A industrial control panel construction basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: EUR.,2,EA,cost_plus,,18216.67,EUR,,25,49185
2.1.6,PROCESS CONTAINER SHELLS INSTALL KIT,PROCESS CONTAINER SHELLS INSTALL KIT; duplex stainless steel process wetted construction; ISO 9001 traceable manufacturing record package; design ambient -20 to 45 degC. Supplier cost currency: KRW.,3,EA,cost_plus,,27064383.56,KRW,,26,74681.46
2.2,SKID BASES AND LIFTING FRAMES,"Structural skid bases, lifting lugs, forklift pockets, and equipment support frames.",1,LOT,,,,,,,
2.2.1,SKID BASES AND ASSEMBLY,SKID BASES AND ASSEMBLY; FRP/HDPE chemical-resistant utility construction; NFPA 2 hydrogen technologies design consideration; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: AUD.,3,EA,cost_plus,,30435.94,AUD,,22,71293.14
2.2.2,SKID BASES AND MODULE,SKID BASES AND MODULE; IP66/NEMA 4X outdoor electrical enclosure; ASME B31.3 process piping fabrication basis; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: GBP.,4,EA,cost_plus,,15649.60,GBP,,23,96245.04
2.2.3,SKID BASES AND PANEL,SKID BASES AND PANEL; ATEX/IECEx suitable hydrogen-area component selection; CE/UKCA technical file support package; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: EUR.,5,EA,cost_plus,,18189.81,EUR,,24,121799
2.2.4,SKID BASES AND MANIFOLD,SKID BASES AND MANIFOLD; 316L stainless steel wetted construction; UL 508A industrial control panel construction basis; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: KRW.,2,EA,cost_plus,,27024657.53,KRW,,25,49320
2.2.5,SKID BASES AND SENSOR SET,SKID BASES AND SENSOR SET; duplex stainless steel process wetted construction; ISO 9001 traceable manufacturing record package; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: HKD.,3,EA,cost_plus,,154773.44,HKD,,26,74885.58
2.2.6,SKID BASES AND INSTALL KIT,SKID BASES AND INSTALL KIT; EPDM/PTFE compatible deionized water service; IEC 60204-1 electrical machinery compliance; design ambient -20 to 45 degC. Supplier cost currency: JPY.,4,EA,cost_plus,,2969253.73,JPY,,22,97082.72
2.3,ACCESS PLATFORMS AND WALKWAYS,"Platforms, stairs, grating, handrails, and safe access provisions.",1,LOT,,,,,,,
2.3.1,ACCESS PLATFORMS AND ASSEMBLY,ACCESS PLATFORMS AND ASSEMBLY; IP66/NEMA 4X outdoor electrical enclosure; ASME B31.3 process piping fabrication basis; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: EUR.,4,EA,cost_plus,,18162.96,EUR,,23,96510.72
2.3.2,ACCESS PLATFORMS AND MODULE,ACCESS PLATFORMS AND MODULE; ATEX/IECEx suitable hydrogen-area component selection; CE/UKCA technical file support package; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: KRW.,5,EA,cost_plus,,26984931.51,KRW,,24,122133.80
2.3.3,ACCESS PLATFORMS AND PANEL,ACCESS PLATFORMS AND PANEL; 316L stainless steel wetted construction; UL 508A industrial control panel construction basis; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: HKD.,2,EA,cost_plus,,154546.88,HKD,,25,49455
2.3.4,ACCESS PLATFORMS AND MANIFOLD,ACCESS PLATFORMS AND MANIFOLD; duplex stainless steel process wetted construction; ISO 9001 traceable manufacturing record package; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: JPY.,3,EA,cost_plus,,2964925.37,JPY,,26,75089.70
2.3.5,ACCESS PLATFORMS AND SENSOR SET,ACCESS PLATFORMS AND SENSOR SET; EPDM/PTFE compatible deionized water service; IEC 60204-1 electrical machinery compliance; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: CNY.,4,EA,cost_plus,,142485.71,CNY,,22,97346.24
2.3.6,ACCESS PLATFORMS AND INSTALL KIT,ACCESS PLATFORMS AND INSTALL KIT; copper busbar with tin-plated contact surfaces; IEC 61511 instrumented protection design basis; design ambient -20 to 45 degC. Supplier cost currency: USD.,5,EA,cost_plus,,20031,USD,,23,123190.65
2.4,THERMAL INSULATION AND HVAC,"Insulation panels, HVAC equipment, heaters, and condensation control.",1,LOT,,,,,,,
2.4.1,THERMAL INSULATION AND ASSEMBLY,THERMAL INSULATION AND ASSEMBLY; ATEX/IECEx suitable hydrogen-area component selection; CE/UKCA technical file support package; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: HKD.,5,EA,cost_plus,,181664.06,HKD,,21,140680.65
2.4.2,THERMAL INSULATION AND MODULE,THERMAL INSULATION AND MODULE; 316L stainless steel wetted construction; UL 508A industrial control panel construction basis; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: JPY.,2,EA,cost_plus,,3482985.07,JPY,,22,56939.84
2.4.3,THERMAL INSULATION AND PANEL,THERMAL INSULATION AND PANEL; duplex stainless steel process wetted construction; ISO 9001 traceable manufacturing record package; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: CNY.,3,EA,cost_plus,,167278.57,CNY,,23,86416.11
2.4.4,THERMAL INSULATION AND MANIFOLD,THERMAL INSULATION AND MANIFOLD; EPDM/PTFE compatible deionized water service; IEC 60204-1 electrical machinery compliance; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: USD.,4,EA,cost_plus,,23502,USD,,19,111869.52
2.4.5,THERMAL INSULATION AND SENSOR SET,THERMAL INSULATION AND SENSOR SET; copper busbar with tin-plated contact surfaces; IEC 61511 instrumented protection design basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: SGD.,5,EA,cost_plus,,31871.62,SGD,,20,141510
2.4.6,THERMAL INSULATION AND INSTALL KIT,THERMAL INSULATION AND INSTALL KIT; powder-coated carbon steel structural frame; ISO 22734 hydrogen generator equipment requirements; design ambient -20 to 45 degC. Supplier cost currency: AUD.,2,EA,cost_plus,,36981.25,AUD,,21,57276.56
2.5,PAINT COATING AND NAMEPLATES,"Coating systems, identification tags, warning labels, and stainless nameplates.",1,LOT,,,,,,,
2.5.1,PAINT COATING AND ASSEMBLY,PAINT COATING AND ASSEMBLY; 316L stainless steel wetted construction; UL 508A industrial control panel construction basis; feed water conductivity less than 1 uS/cm at package inlet. Supplier cost currency: CNY.,2,EA,cost_plus,,79928.57,CNY,,23,27527.40
2.5.2,PAINT COATING AND MODULE,PAINT COATING AND MODULE; duplex stainless steel process wetted construction; ISO 9001 traceable manufacturing record package; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: USD.,3,EA,cost_plus,,11273,USD,,24,41935.56
2.5.3,PAINT COATING AND PANEL,PAINT COATING AND PANEL; EPDM/PTFE compatible deionized water service; IEC 60204-1 electrical machinery compliance; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: SGD.,4,EA,cost_plus,,15345.95,SGD,,20,54508.80
2.5.4,PAINT COATING AND MANIFOLD,PAINT COATING AND MANIFOLD; copper busbar with tin-plated contact surfaces; IEC 61511 instrumented protection design basis; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: AUD.,5,EA,cost_plus,,17873.44,AUD,,21,69205.95
2.5.5,PAINT COATING AND SENSOR SET,PAINT COATING AND SENSOR SET; powder-coated carbon steel structural frame; ISO 22734 hydrogen generator equipment requirements; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: GBP.,2,EA,cost_plus,,9217.60,GBP,,22,28113.68
2.5.6,PAINT COATING AND INSTALL KIT,PAINT COATING AND INSTALL KIT; FRP/HDPE chemical-resistant utility construction; NFPA 2 hydrogen technologies design consideration; design ambient -20 to 45 degC. Supplier cost currency: EUR.,3,EA,cost_plus,,10745.37,EUR,,23,42822.45
3,WATER TREATMENT AND FEED SYSTEM,"Raw water pretreatment, reverse osmosis, EDI polishing, storage, dosing, and feed pumps for electrolyzer grade water.",1,LOT,,,,,,,
3.1,RAW WATER INLET PACKAGE,"Inlet strainers, flow control, pressure regulation, and raw water isolation.",1,LOT,,,,,,,
3.1.1,RAW WATER INLET ASSEMBLY,RAW WATER INLET ASSEMBLY; FRP/HDPE chemical-resistant utility construction; ISO 22734 hydrogen generator equipment requirements; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: GBP.,3,EA,cost_plus,,12522.40,GBP,,20,56350.80
